id,x1,y1,x2,y2,center_x,center_y,confidence,class
156,601.39,130.81,629.69,169.53,615.54,150.17,0.3138,person
157,377.31,279.52,405.67,325.87,391.49,302.70,0.3136,person
158,536.51,448.24,566.10,485.36,551.30,466.80,0.3135,person
159,557.74,120.77,577.57,154.69,567.66,137.73,0.3130,person
160,619.53,249.75,645.36,294.42,632.45,272.08,0.3128,person
161,362.66,330.49,379.72,355.43,371.19,342.96,0.3122,person
162,497.20,409.34,518.51,448.21,507.85,428.78,0.3110,person
163,768.01,273.31,785.72,330.26,776.86,301.78,0.3083,person
164,575.07,513.51,608.86,576.80,591.97,545.16,0.3074,person
165,651.10,410.74,663.94,445.70,657.52,428.22,0.3069,person
166,243.30,115.35,256.00,138.56,249.65,126.96,0.3065,person
167,635.58,415.61,653.48,444.08,644.53,429.84,0.3050,person
168,584.76,251.68,607.25,281.61,596.00,266.65,0.3048,person
169,774.59,243.95,787.38,255.96,780.99,249.95,0.3045,person
170,204.18,400.10,244.68,459.91,224.43,430.00,0.3039,person
171,481.63,548.73,525.83,626.77,503.73,587.75,0.3035,person
172,680.33,626.83,709.16,681.89,694.75,654.36,0.3033,person
173,601.34,38.49,614.38,60.69,607.86,49.59,0.3020,person
